Code commune,Nom de la commune,Population totale
252,VELZIC,431
253,VERNOLS,66
254,VEYRIERES,121
255,VEZAC,1284
256,VEZE,57
257,VEZELS ROUSSY,129
258,VIC SUR CERE,1874
259,VIEILLESPESSE,247
260,VIEILLEVIE,112
261,LE VIGEAN,846
262,VILLEDIEU,573
263,VIRARGUES,129
264,VITRAC,275
265,YDES,1672
266,YOLET,561
267,YTRAC,4441
268,LE ROUGET PERS,1259
269,BESSE,133
