code,nom,statut,codepostal,id_commune,latitude,longitude
0150507V,Ecole élémentaire,Public,15170,231,45.11369580277748,3.0470094823483973
0150514C,Ecole élémentaire,Public,15130,234,44.82298847302964,2.5435199142414815
0150516E,Ecole élémentaire,Public,15100,235,44.99693977793012,3.0143305492535095
0150518G,Ecole élémentaire,Public,15800,236,45.01482285441236,2.662489482928726
0150529U,Ecole élémentaire,Public,15400,243,45.25344017166903,2.5382105687183416
0150533Y,Ecole élémentaire,Public,15300,244,45.08099961507386,2.9349994078023802
0150535A,Ecole élémentaire,Public,15100,245,45.03466559600923,3.2052494190687413
0150537C,Ecole élémentaire,Public,15400,246,45.26831460611427,2.6026595102460917
0150540F,Ecole élémentaire,Public,15500,158,45.10419716269301,3.277440089649004
0150543J,Ecole élémentaire,Public,15120,103,44.77947863899162,2.5313699432131176
0150545L,Ecole élémentaire,Public,15300,248,45.05295667917525,2.9330503898106763
0150550S,Ecole élémentaire,Public,15240,250,45.33966134644364,2.5196202406769026
0150553V,Ecole élémentaire,Public,15590,252,45.00123913732474,2.5523305953864974
0150556Y,Ecole élémentaire,Public,15130,255,44.89206008828442,2.518840310286055
0150562E,Ecole maternelle Etienne Labrunie,Public,15800,258,44.980580270834366,2.6266504437325033
0150563F,Ecole élémentaire,Public,15500,259,45.126641243356914,3.1510699360364036
0150566J,Ecole élémentaire,Public,15200,261,45.22651013961407,2.3539301967587773
0150568L,Ecole élémentaire,Public,15100,262,44.999764682175794,3.0641702973838103
0150569M,Ecole maternelle Bouzentes,Public,15100,262,45.01447232517443,3.0389101079343104
0150572R,Ecole élémentaire,Public,15220,264,44.815162713064616,2.3148303242398964
0150575U,Ecole élémentaire,Public,15210,265,45.34372625270632,2.4374902423280655
0150577W,Ecole élémentaire,Public,15130,266,44.928102447116565,2.5322803516098222
0150578X,Ecole élémentaire,Public,15130,267,44.91472916727981,2.3640093916362033
0150579Y,Ecole élémentaire Le Bex,Public,15130,267,44.880041877881084,2.3848998769286016
0150581A,Collège Jean Dauzié,Public,15220,196,44.85827132420505,2.3073002140271552
0150582B,Section d'enseignement général et professionnel adapté du Collège Blaise Pascal,Public,15101,187,45.036330816248054,3.087999407388883
0150586F,Ecole élémentaire privée Institution Notre-Dame des Oliviers,Privé,15300,138,45.10947642693982,2.8677404422082176
0150589J,Ecole élémentaire privée Institution Saint Joseph,Privé,15700,153,45.13361838151662,2.2262999425863974
0150590K,Ecole élémentaire privée du Sacré-Coeur,Privé,15400,162,45.28053248293684,2.6581703926123286
0150593N,Ecole élémentaire privée Institution Saint Joseph,Privé,15106,187,45.0344506133026,3.1019594741013896
0150594P,Ecole élémentaire privée Institution Notre-Dame,Privé,15100,187,45.03476361111805,3.0898001089581903
0150599V,Lycée professionnel agricole de Saint-Flour,Public,15100,187,45.02450736591501,3.068211860764757
0150608E,Ecole élémentaire,Public,15340,27,44.6939997189498,2.3319290095184173
0150609F,Ecole maternelle,Public,15800,192,45.05327659883483,2.7111093960749892
0150610G,Ecole élémentaire,Public,15200,120,45.21742121061697,2.335550463935152
0150613K,Etablissement régional d'enseignement adapté Albert Monier,Public,15013,14,44.93700747433619,2.4488494423111575
0150623W,Ecole élémentaire privée Saint-Joseph,Privé,15140,202,45.11792408233631,2.428190444442502
0150633G,Section d'enseignement général et professionnel adapté du Collège La Ponétie,Public,15013,14,44.904059781705456,2.449890107107749
0150639N,Collège Jeanne de La Treilhe,Public,15000,14,44.931332705102776,2.446920262863509
0150646W,Lycée général Emile Duclaux,Public,15005,14,44.927782859640786,2.439440592922277
0150647X,Collège Jules Ferry,Public,15005,14,44.9258813233219,2.4414202638743485
0150661M,Lycée agricole privé Saint-Vincent de Saint-Flour,Privé,15100,187,45.03500348813291,3.0870601794185513
0150666T,Collège La Vigière,Public,15100,187,45.03302588341061,3.10709955045507
0150667U,Section d'enseignement professionnel,Public,15200,120,45.21382008287824,2.341140124766032
0150668V,Maison Familiale Rurale Crouzit Haut de Mauriac,Privé,15200,120,45.2234106426503,2.2857187873324087
0150669W,Ecole élémentaire de Canteloube,Public,15000,14,44.90604342702414,2.4320205660195438
0150672Z,Maison Familiale Rurale de Marcoles - Saint-Mammet,Privé,15220,117,44.78206504701432,2.351999520119488
0150677E,Ecole élémentaire,Public,15250,118,45.00496731902951,2.4846140682407967
0150678F,Ecole élémentaire Etienne Labrunie,Public,15800,258,44.97986548231289,2.627489946900659
0150679G,Ecole élémentaire,Public,15290,268,44.853411870297435,2.2324001923120926
0150683L,Ecole élémentaire Prat Long,Public,15320,34,44.969278116499176,3.2357904317977493
0150686P,Ecole élémentaire Besserette,Public,15100,187,45.03812009043014,3.076759703215152
0150687R,Ecole élémentaire,Public,15160,1,45.231044190036954,2.9352502215702096
0150688S,Maison Familiale Rurale de Saint-Flour,Privé,15100,187,45.038682423505314,3.095872818465566
0150690U,Section d'enseignement général et professionnel adapté du Collège du Méridien,Public,15200,120,45.21911762687187,2.3361494652875137
0150691V,Ecole élémentaire,Public,15250,140,44.9575595945576,2.417919640689212
0150693X,Ecole élémentaire,Public,15170,141,45.128256326795416,2.975920572073692
0150695Z,Ecole élémentaire Paul Doumer,Public,15000,14,44.92315413405051,2.4369699098202613
0150708N,Collège privé Gerbert,Privé,15000,14,44.915101259869516,2.4353907452880663
0150713U,Ecole élémentaire Belbex,Public,15000,14,44.91692385174704,2.420740047835959
0150729L,Collège La Ponétie,Public,15013,14,44.904234741075065,2.4490395617596565
0150732P,Ecole élémentaire Lavaurs,Public,15200,79,45.25051247625123,2.3495396955136285
0150743B,Section d'enseignement professionnel du Lycée privé de la Communication Saint Géraud,Privé,15013,14,44.93201672315936,2.4454203573908075
0150747F,Lycée polyvalent - Lycée des métiers de l'eau et de la gestion comptable,Public,15200,120,45.2133038762988,2.3406404644158756
0150760V,Lycée Polyvalent privé Gerbert,Privé,15000,14,44.91492261677949,2.435849985504045
0150761W,Section d'enseignement professionnel du Lycée privé Gerbert,Privé,15000,14,44.91510125343173,2.435389478195114
0150773J,Ecole élementaire privée La Calandreta del Vernhat,Privé,15000,14,44.90477730883497,2.434630577068397
